radial,horizontal_lsf,vertical_lsf
190.000000,0.000366,0.000748
191.000000,0.000302,0.000547
192.000000,0.000917,0.001276
193.000000,0.000705,0.000850
194.000000,0.000136,0.000000
195.000000,0.000203,0.000235
196.000000,0.002263,0.000614
197.000000,0.001810,0.001124
198.000000,0.000633,0.001075
199.000000,0.000247,0.001020
200.000000,0.000772,0.000796
